student_id,gre,toefl,cgpa,admit_chance
301,309,106,8.0,0.62
302,319,108,8.76,0.66
303,322,105,8.45,0.65
304,323,107,8.55,0.73
305,313,106,8.43,0.62
306,321,109,8.8,0.74
307,323,110,9.1,0.79
308,325,112,9.0,0.8
309,312,108,8.53,0.69
310,308,110,8.6,0.7
311,320,104,8.74,0.76
312,328,108,9.18,0.84
313,311,107,9.0,0.78
314,301,100,8.04,0.67
315,305,105,8.13,0.66
316,308,104,8.07,0.65
317,298,101,7.86,0.54
318,300,99,8.01,0.58
319,324,111,8.8,0.79
320,327,113,8.69,0.8
321,317,106,8.5,0.75
322,323,104,8.44,0.73
323,314,107,8.27,0.72
324,305,102,8.18,0.62
325,315,104,8.33,0.67
326,326,116,9.14,0.81
327,299,100,8.02,0.63
328,295,101,7.86,0.69
329,324,112,8.77,0.8
330,297,96,7.89,0.43
331,327,113,8.66,0.8
332,311,105,8.12,0.73
333,308,106,8.21,0.75
334,319,108,8.54,0.71
335,312,107,8.65,0.73
336,325,111,9.11,0.83
337,319,110,8.79,0.72
338,332,118,9.47,0.94
339,323,108,8.74,0.81
340,324,107,8.66,0.81
341,312,107,8.46,0.75
342,326,110,8.76,0.79
343,308,106,8.24,0.58
344,305,103,8.13,0.59
345,295,96,7.34,0.47
346,316,98,7.43,0.49
347,304,97,7.64,0.47
348,299,94,7.34,0.42
349,302,99,7.25,0.57
350,313,101,8.04,0.62
351,318,107,8.27,0.74
352,325,110,8.67,0.73
353,303,100,8.06,0.64
354,300,102,8.17,0.63
355,297,98,7.67,0.59
356,317,106,8.12,0.73
357,327,109,8.77,0.79
358,301,104,7.89,0.68
359,314,105,7.64,0.7
360,321,107,8.44,0.81
361,322,110,8.64,0.85
362,334,116,9.54,0.93
363,338,115,9.23,0.91
364,306,103,8.36,0.69
365,313,102,8.9,0.77
366,330,114,9.17,0.86
367,320,104,8.34,0.74
368,311,98,7.46,0.57
369,298,92,7.88,0.51
370,301,98,8.03,0.67
371,310,103,8.24,0.72
372,324,110,9.22,0.89
373,336,119,9.62,0.95
374,321,109,8.54,0.79
375,315,105,7.65,0.39
376,304,101,7.66,0.38
377,297,96,7.43,0.34
378,290,100,7.56,0.47
379,303,98,7.65,0.56
380,311,99,8.43,0.71
381,322,104,8.84,0.78
382,319,105,8.67,0.73
383,324,110,9.15,0.82
384,300,100,8.26,0.62
385,340,113,9.74,0.96
386,335,117,9.82,0.96
387,302,101,7.96,0.46
388,307,105,8.1,0.53
389,296,97,7.8,0.49
390,320,108,8.44,0.76
391,314,102,8.24,0.64
392,318,106,8.65,0.71
393,326,112,9.12,0.84
394,317,104,8.76,0.77
395,329,111,9.23,0.89
396,324,110,9.04,0.82
397,325,107,9.11,0.84
398,330,116,9.45,0.91
399,312,103,8.78,0.67
400,333,117,9.66,0.95
401,304,100,8.22,0.63
402,315,105,8.34,0.66
403,324,109,8.94,0.78
404,330,116,9.23,0.91
405,311,101,7.64,0.62
406,302,99,7.45,0.52
407,322,103,8.02,0.61
408,298,100,7.95,0.58
409,297,101,7.67,0.57
410,300,98,8.02,0.61
411,301,96,7.56,0.54
412,313,94,8.13,0.56
413,314,102,7.88,0.59
414,317,101,7.94,0.49
415,321,110,8.35,0.72
416,327,106,8.75,0.76
417,315,104,8.1,0.65
418,316,103,7.68,0.52
419,309,111,8.03,0.6
420,308,102,7.98,0.58
421,299,100,7.42,0.42
422,321,112,8.95,0.77
423,322,112,9.02,0.73
424,334,119,9.54,0.94
425,325,114,9.46,0.91
426,323,111,9.86,0.92
427,312,106,8.57,0.71
428,310,101,8.65,0.71
429,316,103,8.74,0.69
430,340,115,9.06,0.95
431,311,104,8.13,0.74
432,320,112,8.78,0.73
433,324,112,9.22,0.86
434,316,111,8.54,0.71
435,306,103,8.21,0.64
436,309,105,7.68,0.55
437,310,110,7.23,0.58
438,317,106,7.65,0.61
439,318,110,8.54,0.67
440,312,105,8.46,0.66
441,305,104,7.79,0.53
442,332,112,8.66,0.79
443,331,116,9.44,0.92
444,321,114,9.16,0.87
445,324,113,9.25,0.92
446,328,116,9.08,0.91
447,327,118,9.67,0.93
448,320,108,8.97,0.84
449,312,109,9.02,0.8
450,315,101,9.13,0.79
451,320,112,8.86,0.82
452,324,113,9.25,0.89
453,328,116,9.6,0.93
454,319,103,8.76,0.73
455,310,105,8.01,0.71
456,305,102,7.64,0.59
457,299,100,7.88,0.51
458,295,99,7.57,0.37
459,312,100,8.53,0.69
460,329,113,9.36,0.89
461,319,105,8.66,0.77
462,301,102,8.13,0.68
463,307,105,7.94,0.62
464,304,107,7.86,0.57
465,298,97,7.21,0.45
466,305,96,8.26,0.54
467,314,99,8.73,0.71
468,318,101,8.78,0.78
469,323,110,8.88,0.81
470,326,114,9.16,0.86
471,320,110,9.27,0.87
472,311,103,8.09,0.64
473,327,116,9.48,0.9
474,316,102,8.15,0.67
475,308,105,7.95,0.67
476,300,101,7.88,0.59
477,304,104,8.12,0.62
478,309,105,8.18,0.65
479,318,103,8.49,0.71
480,325,110,8.96,0.79
481,321,102,9.01,0.8
482,323,107,8.48,0.78
483,328,113,8.77,0.83
484,304,103,7.92,0.71
485,317,106,7.89,0.73
486,311,101,8.34,0.7
487,319,102,8.37,0.68
488,327,115,9.14,0.79
489,322,112,8.62,0.76
490,302,110,8.5,0.65
491,307,105,8.12,0.67
492,297,99,7.81,0.54
493,298,101,7.69,0.53
494,300,95,8.22,0.62
495,301,99,8.45,0.68
496,332,108,9.02,0.87
497,337,117,9.87,0.96
498,330,120,9.56,0.93
499,312,103,8.43,0.73
500,327,113,9.04,0.84
